countryName,countryCode,region,year,gni,population,gpi,happiness
Afghanistan,AFG,Asia,2018,520,37171922,3.350,3.632
Angola,AGO,Africa,2018,3210,30809787,2.031,3.795
Albania,ALB,Europe,2018,4860,2866376,1.843,4.586
United Arab Emirates,ARE,Asia,2018,41470,9630966,1.816,6.774
Argentina,ARG,Americas,2018,12370,44494502,1.955,6.388
Armenia,ARM,Asia,2018,4250,2951741,2.302,4.321
Australia,AUS,Oceania,2018,53190,24982688,1.398,7.272
Austria,AUT,Europe,2018,49030,8840521,1.273,7.139
Azerbaijan,AZE,Asia,2018,4060,9939771,2.447,5.201
Burundi,BDI,Africa,2018,280,11175379,2.502,2.905
Belgium,BEL,Europe,2018,46060,11427054,1.538,6.927
Benin,BEN,Africa,2018,1200,11485035,1.975,4.141
Burkina Faso,BFA,Africa,2018,750,19751466,2.023,4.424
Bangladesh,BGD,Asia,2018,1750,161376713,2.078,4.500
Bulgaria,BGR,Europe,2018,8560,7025037,1.632,4.933
Bahrain,BHR,Asia,2018,21910,1569440,2.404,6.105
Bosnia and Herzegovina,BIH,Europe,2018,5750,3323929,2.063,5.129
Belarus,BLR,Europe,2018,5700,9483499,2.112,5.483
Bolivia,BOL,Americas,2018,3370,11353140,2.033,5.752
Brazil,BRA,Americas,2018,9170,209469320,2.159,6.419
Bhutan,BTN,Asia,2018,2970,754396,1.521,5.082
Botswana,BWA,Africa,2018,7340,2254067,1.682,3.590
Central African Republic,CAF,Africa,2018,490,4666375,3.276,3.083
Canada,CAN,Americas,2018,44950,37065178,1.338,7.328
Switzerland,CHE,Europe,2018,85030,8514329,1.379,7.487
Chile,CHL,Americas,2018,14550,18729166,1.646,6.476
China,CHN,Asia,2018,9600,1392730000,2.247,5.246
Cameroon,CMR,Africa,2018,1450,25216261,2.473,4.975
Colombia,COL,Americas,2018,6260,49661056,2.729,6.260
Costa Rica,CRI,Americas,2018,11930,4999443,1.766,7.072
Cyprus,CYP,Asia,2018,26990,1189262,1.898,5.762
Germany,DEU,Europe,2018,47140,82905782,1.527,6.965
Denmark,DNK,Europe,2018,61340,5793636,1.313,7.555
Dominican Republic,DOM,Americas,2018,7780,10627147,2.073,5.302
Algeria,DZA,Africa,2018,3980,42228415,2.188,5.295
Ecuador,ECU,Americas,2018,6090,17084359,1.962,5.973
Spain,ESP,Europe,2018,29320,46797754,1.676,6.310
Estonia,EST,Europe,2018,21320,1321977,1.732,5.739
Ethiopia,ETH,Africa,2018,800,109224410,2.426,4.350
Finland,FIN,Europe,2018,48230,5515525,1.505,7.632
France,FRA,Europe,2018,41080,67101930,1.887,6.489
Gabon,GAB,Africa,2018,6830,2119275,2.096,4.758
United Kingdom,GBR,Europe,2018,41740,66460344,1.831,7.190
Georgia,GEO,Asia,2018,4460,3726549,2.118,4.340
Ghana,GHA,Africa,2018,2120,29767108,1.772,4.657
Guinea,GIN,Africa,2018,860,12414292,2.106,3.964
Greece,GRC,Europe,2018,19050,10732882,2.028,5.358
Guatemala,GTM,Americas,2018,4400,16346950,2.210,6.382
Honduras,HND,Americas,2018,2330,9587523,2.276,5.504
Croatia,HRV,Europe,2018,14080,4087843,1.639,5.321
Haiti,HTI,Americas,2018,1360,11123183,2.054,3.582
Hungary,HUN,Europe,2018,15010,9775564,1.542,5.620
Indonesia,IDN,Asia,2018,3840,267670549,1.854,5.093
India,IND,Asia,2018,2010,1352642283,2.517,4.190
Ireland,IRL,Europe,2018,60450,4867316,1.394,6.977
Iraq,IRQ,Asia,2018,4840,38433604,3.436,4.456
Iceland,ISL,Europe,2018,67760,352721,1.096,7.495
Israel,ISR,Asia,2018,40840,8882800,2.756,6.814
Italy,ITA,Europe,2018,33810,60421760,1.772,6.000
Jamaica,JAM,Americas,2018,5010,2934853,2.079,5.890
Jordan,JOR,Asia,2018,4270,9965322,2.101,5.161
Japan,JPN,Asia,2018,41150,126529100,1.381,5.915
Kazakhstan,KAZ,Asia,2018,8070,18276452,1.963,5.790
Kenya,KEN,Africa,2018,1600,51392570,2.300,4.410
Cambodia,KHM,Asia,2018,1380,16249795,2.101,4.433
Kuwait,KWT,Asia,2018,33430,4137314,1.831,6.083
Lebanon,LBN,Asia,2018,7710,6859408,2.790,5.358
Liberia,LBR,Africa,2018,610,4818976,1.933,3.495
Libya,LBY,Africa,2018,6800,6678565,3.283,5.566
Sri Lanka,LKA,Asia,2018,4040,21670000,1.964,4.471
Lesotho,LSO,Africa,2018,1230,2108327,2.144,3.808
Lithuania,LTU,Europe,2018,17440,2801543,1.814,5.952
Latvia,LVA,Europe,2018,16520,1927174,1.679,5.933
Morocco,MAR,Africa,2018,3090,36029089,2.017,5.254
Moldova,MDA,Europe,2018,3920,2708214,1.933,5.640
Madagascar,MDG,Africa,2018,500,26262313,1.860,3.774
Mexico,MEX,Americas,2018,9180,126190782,2.640,6.488
Mali,MLI,Africa,2018,830,19077755,2.685,4.447
Myanmar,MMR,Asia,2018,1280,53708318,2.328,4.308
Montenegro,MNE,Europe,2018,8450,622227,1.892,5.347
Mongolia,MNG,Asia,2018,3630,3170214,1.807,5.125
Mozambique,MOZ,Africa,2018,460,29496009,2.051,4.417
Mauritania,MRT,Africa,2018,1580,4403312,2.353,4.356
Mauritius,MUS,Africa,2018,12270,1265303,1.592,5.891
Malawi,MWI,Africa,2018,430,18143215,1.749,3.587
Malaysia,MYS,Asia,2018,10650,31528033,1.616,6.322
Namibia,NAM,Africa,2018,4950,2448300,1.807,4.441
Niger,NER,Africa,2018,570,22442831,2.444,4.166
Nigeria,NGA,Africa,2018,1960,195874685,2.883,5.155
Nicaragua,NIC,Americas,2018,1970,6465502,1.935,6.141
Netherlands,NLD,Europe,2018,51250,17231624,1.528,7.441
Norway,NOR,Europe,2018,80320,5311916,1.515,7.594
Nepal,NPL,Asia,2018,1120,28095712,2.060,4.880
New Zealand,NZL,Oceania,2018,41680,4900600,1.188,7.324
Pakistan,PAK,Asia,2018,1480,212228288,3.094,5.472
Panama,PAN,Americas,2018,14480,4176868,1.824,6.430
Peru,PER,Americas,2018,6470,31989265,1.982,5.663
Philippines,PHL,Asia,2018,3710,106651394,2.523,5.524
Poland,POL,Europe,2018,14150,37974750,1.728,6.123
Portugal,PRT,Europe,2018,22030,10283822,1.315,5.410
Paraguay,PRY,Americas,2018,5600,6956069,2.001,5.681
Qatar,QAT,Asia,2018,58830,2781682,1.785,6.374
Romania,ROU,Europe,2018,11430,19473970,1.530,5.945
Rwanda,RWA,Africa,2018,780,12301969,2.139,3.408
Saudi Arabia,SAU,Asia,2018,21610,33702757,2.382,6.371
Sudan,SDN,Africa,2018,1040,41801532,2.950,4.139
Senegal,SEN,Africa,2018,1390,15854324,1.850,4.631
Singapore,SGP,Asia,2018,56900,5638676,1.382,6.343
Sierra Leone,SLE,Africa,2018,490,7650149,1.737,4.571
El Salvador,SLV,Americas,2018,3820,6420740,2.272,6.167
Somalia,SOM,Africa,2018,310,15008225,3.576,4.982
Serbia,SRB,Europe,2018,6410,6982604,1.854,5.398
Slovenia,SVN,Europe,2018,24580,2073894,1.390,5.948
Sweden,SWE,Europe,2018,55640,10175214,1.507,7.314
Chad,TCD,Africa,2018,680,15477727,2.496,4.301
Togo,TGO,Africa,2018,880,7889095,2.103,3.999
Thailand,THA,Asia,2018,6610,69428454,2.266,6.072
Tajikistan,TJK,Asia,2018,1030,9100847,2.279,5.199
Turkmenistan,TKM,Asia,2018,6740,5850902,2.283,5.636
Tunisia,TUN,Africa,2018,3500,11565203,2.000,4.592
Turkey,TUR,Asia,2018,10510,82340090,2.909,5.483
Tanzania,TZA,Africa,2018,1030,56313444,1.840,3.303
Uganda,UGA,Africa,2018,750,42729032,2.176,4.161
Ukraine,UKR,Europe,2018,2800,44622518,3.147,4.103
Uruguay,URY,Americas,2018,17270,3449290,1.754,6.379
United States,USA,Americas,2018,63510,326838199,2.332,6.886
Uzbekistan,UZB,Asia,2018,2020,32956100,2.144,6.096
Vietnam,VNM,Asia,2018,2380,95545959,1.911,5.103
South Africa,ZAF,Africa,2018,5750,57792520,2.335,4.724
Zambia,ZMB,Africa,2018,1440,17351714,1.821,4.377
Zimbabwe,ZWE,Africa,2018,1410,14438812,2.340,3.692
