"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10360","11760","12230","13190","13990","14620","15640","16230","16370","17220","17620","17880","20000","19170","17890","20070","22630","19200","23340","21680","25510","23770","22380","22450","23520","24510","25350","26560","26840","27120","","","",
"Africa Eastern and Southern","AFE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","123.905780350384","129.64484139184","135.582744908281","145.152298420654","152.228991256004","163.799580150943","173.913965444411","187.024189418538","202.400053171852","217.969971046541","230.818247670438","273.132823290616","342.525264503737","394.322881112786","390.940796819198","385.275868700641","405.720832390268","476.137517935867","585.372121025059","657.883804589276","630.152832437349","571.079798765137","542.787824292649","488.662337607276","494.551104977964","563.63044262423","636.946937128012","660.091130996112","641.426871789095","665.283309298933","666.662838641567","667.758513573561","664.449537710869","692.783729848707","702.273285928447","705.196504230628","652.149764695026","632.379192308146","627.829898840914","601.198247359377","585.965200534001","628.571676742821","762.01962549549","949.040932579011","1065.39982500285","1172.51549182262","1259.85639731859","1292.25060657868","1376.26178841922","1483.49786835981","1604.99537283951","1640.07588282357","1630.75720540422","1536.85843884233","1436.93042149847","1409.97640117611","1457.25183371339","1489.28183371732","1364.79612153504",
"Afghanistan","AFG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","510","530","630","660","630","600","550","530","520","530","500",
"Africa Western and Central","AFW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","113.68578179292","122.154793807771","128.213818112568","133.158380912571","136.079672749931","128.796239318197","130.420669383135","143.037535765175","170.469238894859","179.007470508069","192.912449942781","216.300530731459","300.845370346445","358.224073855712","422.64983631712","455.243063828817","478.748946255356","558.929734883722","646.038123015259","762.966952917066","876.497077164951","925.209786766728","757.929096529252","685.78447309183","623.037437596138","614.871519783951","630.1594573287","563.581102139636","556.079695646671","541.629411378169","552.720782295548","470.061747124962","413.420306132313","404.048724761662","435.060122894183","468.240978498862","461.139311180014","462.929842372267","453.472342538025","477.847269038361","522.349086495764","583.646059649111","710.060558986337","839.591827737338","1027.10908942618","1194.59049818234","1439.13269622319","1506.79010764904","1563.74218764175","1598.97910598234","1769.9503837432","1927.13675808913","2063.23305792839","1980.28693446604","1765.50496533378","1607.27034475169","1607.91355278929","1665.5021909367","1646.33456848945",
"Angola","AGO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","590","680","670","650","860","780","1380","1170","","330","440","320","450","410","330","360","390","590","710","1010","1370","1810","2460","3030","3170","3230","3410","4170","4780","5010","4520","3770","3450","3210","2970","2230",
"Albania","ALB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","700","730","730","760","650","410","280","320","380","640","890","800","860","950","1100","1280","1370","1650","2100","2620","3050","3460","4030","4280","4360","4410","4360","4540","4540","4390","4320","4290","4860","5220","5210",
"Andorra","AND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2782.95967815359","2056.81871874359","2107.0350567732","2016.77475485989","2001.4618678229","2044.37171761658","2159.23513151254","2258.24026702011","2277.52788712709","2290.32760706982","2440.77411176265","2539.40617256362","2487.3134003641","2636.98590746007","3061.37371355544","3493.15368677308","4027.91909728558","4628.13661102131","5438.77465612722","5509.57323956621","5793.11124281875","6046.63921879656","6977.86943526656","7479.46904394151","7518.77935232878","7014.56284253311","6546.91380223938","6061.7561264462","6266.48839331695","6490.09313743454","6084.33151519307",
"United Arab Emirates","ARE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31400","31970","30940","32780","36160","37500","39380","39590","39910","35000","33400","35030","39220","42840","44330","42860","40570","39290","41470","43470","",
"Argentina","ARG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","1120","1230","1350","1240","1210","1300","1320","1470","1470","1820","2470","2720","2360","2220","2190","2630","2910","2820","2670","2870","2830","2700","3020","3590","3960","2930","3190","3860","6070","7120","7620","7360","7740","8150","8030","7580","7470","7000","4040","3650","3370","4260","5480","6510","7670","7790","9270","10710","11870","12840","12330","12570","12220","13140","12370","11130","8930",
