"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME",Value,"Flag Codes"
"AUS","GNI","TOT","USD_CAP","A",1960,2405,
"AUS","GNI","TOT","USD_CAP","A",1961,2385,
"AUS","GNI","TOT","USD_CAP","A",1962,2565,
"AUS","GNI","TOT","USD_CAP","A",1963,2746,
"AUS","GNI","TOT","USD_CAP","A",1964,2905,
"AUS","GNI","TOT","USD_CAP","A",1965,2990,
"AUS","GNI","TOT","USD_CAP","A",1966,3246,
"AUS","GNI","TOT","USD_CAP","A",1967,3408,
"AUS","GNI","TOT","USD_CAP","A",1968,3770,
"AUS","GNI","TOT","USD_CAP","A",1969,4152,
"AUS","GNI","TOT","USD_CAP","A",1970,4586,
"AUS","GNI","TOT","USD_CAP","A",1971,4827,
"AUS","GNI","TOT","USD_CAP","A",1972,5197,
"AUS","GNI","TOT","USD_CAP","A",1973,5758,
"AUS","GNI","TOT","USD_CAP","A",1974,6240,
"AUS","GNI","TOT","USD_CAP","A",1975,6918,
"AUS","GNI","TOT","USD_CAP","A",1976,7322,
"AUS","GNI","TOT","USD_CAP","A",1977,7611,
"AUS","GNI","TOT","USD_CAP","A",1978,8423,
"AUS","GNI","TOT","USD_CAP","A",1979,9328,
"AUS","GNI","TOT","USD_CAP","A",1980,10411,
"AUS","GNI","TOT","USD_CAP","A",1981,11693,
"AUS","GNI","TOT","USD_CAP","A",1982,11864,
"AUS","GNI","TOT","USD_CAP","A",1983,12584,
"AUS","GNI","TOT","USD_CAP","A",1984,13372,
"AUS","GNI","TOT","USD_CAP","A",1985,14210,
"AUS","GNI","TOT","USD_CAP","A",1986,14678,
"AUS","GNI","TOT","USD_CAP","A",1987,15710,
"AUS","GNI","TOT","USD_CAP","A",1988,16607,
"AUS","GNI","TOT","USD_CAP","A",1989,17153,
"AUS","GNI","TOT","USD_CAP","A",1990,17063,
"AUS","GNI","TOT","USD_CAP","A",1991,17416,
"AUS","GNI","TOT","USD_CAP","A",1992,18573,
"AUS","GNI","TOT","USD_CAP","A",1993,19662,
